"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"1","","","","","","","","","","","","","","","","","","","","","","","","","-1.84326171875","-1.84326171875","-1.84326171875","","",""
"2","","","","","","","","","","","","","","","","","","","","","","-2.861328125","-2.861328125","-2.861328125","-3.839111328125","-3.839111328125","-3.839111328125","","",""
"3","","","","","","","","","","","","","","","","","","","-3.35693359375","-3.35693359375","-3.35693359375","","","","-4.02978515625","-4.02978515625","-4.02978515625","","",""
"4","","","","","","","","","","","","","","","","-3.3125","-3.3125","-3.3125","","","","-3.4285888671875","-3.4285888671875","-3.4285888671875","-2.82470703125","-2.82470703125","-2.82470703125","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","-0.9658927917480469","-0.9658927917480469","-0.9658927917480469","","",""
"6","","","","","","","","","","","","","","","","","","","-2.6541163126627603","-2.6541163126627603","-2.6541163126627603","-2.5944719314575195","-2.5944719314575195","-2.5944719314575195","-4.07373046875","-4.07373046875","-4.07373046875","","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","0.6492919921875","0.6492919921875","0.6492919921875","","",""
"8","","","","","","","","","","","","","-2.115619659423828","-2.115619659423828","-2.115619659423828","-0.8557090759277344","-0.8557090759277344","-0.8557090759277344","","","","0.6173667907714844","0.6173667907714844","0.6173667907714844","0.598419189453125","0.598419189453125","0.598419189453125","","",""
"9","","","","","","","","","","","","","","","","","","","-1.9277445475260417","-1.9277445475260417","-1.9277445475260417","","","","-6.53759765625","-6.53759765625","-6.53759765625","","",""
"10","","","","","","","","","","","","","","","","","","","","","","-4.719970703125","-4.719970703125","-4.719970703125","-2.72802734375","-2.72802734375","-2.72802734375","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","-1.84130859375","-1.84130859375","-1.84130859375","","",""
"12","","","","","","","","","","","","","","","","-4.14178466796875","-4.14178466796875","-4.14178466796875","-3.231689453125","-3.231689453125","-3.231689453125","-3.245361328125","-3.245361328125","-3.245361328125","-4.592529296875","-4.592529296875","-4.592529296875","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","-0.1517333984375","-0.1517333984375","-0.1517333984375","","",""
"14","","","","","","","","","","","","","","","","","","","","","","-0.23933982849121094","-0.23933982849121094","-0.23933982849121094","-0.3451995849609375","-0.3451995849609375","-0.3451995849609375","","",""
"15","","","","","","","","","","","","","","","","","","","-1.6039015452067058","-1.6039015452067058","-1.6039015452067058","","","","-3.83447265625","-3.83447265625","-3.83447265625","","",""
"16","","","","","","","","","","-2.494054436683655","-2.494054436683655","-2.494054436683655","-2.8090603947639465","-2.8090603947639465","-2.8090603947639465","-1.5925006866455078","-1.5925006866455078","-1.5925006866455078","","","","-2.8751220703125","-2.8751220703125","-2.8751220703125","-1.81396484375","-1.81396484375","-1.81396484375","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","-4.36572265625","-4.36572265625","-4.36572265625","","",""
"18","","","","","","","","","","","","","","","","","","","-2.226923624674479","-2.226923624674479","-2.226923624674479","-2.4161429405212402","-2.4161429405212402","-2.4161429405212402","-0.537567138671875","-0.537567138671875","-0.537567138671875","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","-3.18603515625","-3.18603515625","-3.18603515625","","",""
"20","","","","","","","","","","","","","","","","-2.7374534606933594","-2.7374534606933594","-2.7374534606933594","","","","-2.9573974609375","-2.9573974609375","-2.9573974609375","-2.44970703125","-2.44970703125","-2.44970703125","","",""
